"vtd.key1","tract.key","party","dem.super","pop.density","income","white","poverty","black","hispanic","medianage","distance","weights"
"480050038",48005001001,"REP",FALSE,0.234693381738158,33948,67.38,25.31,20.23,42.28,32.9,0.569042821590634,1
"48005008B",48005000301,"REP",FALSE,0.68446039488338,51369,84.42,13.85,9.44,17.4,41.6,0.0927137006809512,1
"48005010B",48005000800,"REP",FALSE,2.43342548509913,44792,76.25,12.49,18.68,17.75,41.1,0.181840072322164,1
"48005036B",48005000400,"REP",FALSE,3.61735534523081,26534,67.09,27.95,26.56,24.85,40.9,0.8500036193649,1
"480190101",48019000102,"REP",FALSE,0.171797650483107,35500,96.47,24.2,0.42,22.3,50.7,0.195174648043022,1
"480270316",48027020401,"REP",FALSE,0.493941225228668,41724,67.98,7.17,22.96,17.9,44.5,0.0880047795334802,1
"480291003",48029150100,"DEM",TRUE,10.8616301684643,29372,50.82,19.43,0,95.81,40,0.391417076506124,1
"480291004",48029150300,"DEM",TRUE,13.8429793651736,26529,60.15,27.69,0,93.24,32.3,0.794985605586683,1
"480291010",48029140200,"DEM",TRUE,16.9369611038061,26883,58.2,26.14,2.87,89.99,36.1,0.8627873092234,1
"480291015",48029150501,"DEM",TRUE,19.2236302039869,29740,74.37,27.52,1.92,96.27,40.3,0.913813513455251,1
"480291026",48029160902,"DEM",TRUE,4.81555901188465,28792,86.49,18.5,0,95.31,36.1,0.170164538599206,1
"480291041",48029161000,"DEM",TRUE,4.04215668332329,30453,67.68,33.04,1.32,98.63,25.3,0.665200512719453,1
"480291042",48029161100,"DEM",TRUE,14.4077952108415,29711,75.75,16.16,0,96.25,32.7,0.407599332906597,1
"480291044",48029151200,"DEM",TRUE,11.9057643116118,39953,77.05,10.32,0.74,93.99,35.4,0.160742936072825,1
"480291045",48029151200,"DEM",TRUE,14.0731714331569,39953,77.05,10.32,0.74,93.99,35.4,0.214903455179814,1
"480291046",48029151302,"DEM",TRUE,7.44029926721302,42778,61.64,22.8,0,95.76,30.5,0.38403668629139,1
"480291048",48029151700,"DEM",TRUE,5.72752161047287,43605,70.69,11.96,0.5,89.44,35.1,0.0809352741471185,1
"480291054",48029151700,"DEM",TRUE,8.9228487715424,43605,70.69,11.96,0.5,89.44,35.1,0.129740151395713,1
"480291060",48029161100,"DEM",TRUE,4.84135121026756,29711,75.75,16.16,0,96.25,32.7,0.124550594697138,1
