"vtd.key1","tract.key","county","cntyname","tract","vtdname","pop10","afact","state","NAME","medianage","income","totalpop","poverty","hispanic","white","black","Pres_D_08","Pres_R_08","Shape_area"
"480110202","48011950100","48011","Armstrong TX","9501.00","Vtng Dist 0202","141","1 ","48","Census Tract 9501, Armstrong County, Texas",42.7,60530,1958,10.7,9.19,97.14,0.87,"10","59",882742115.911
"480110301","48011950100","48011","Armstrong TX","9501.00","Vtng Dist 0301","386","1 ","48","Census Tract 9501, Armstrong County, Texas",42.7,60530,1958,10.7,9.19,97.14,0.87,"23","160",99198434.9421
"480110302","48011950100","48011","Armstrong TX","9501.00","Vtng Dist 0302","28","1 ","48","Census Tract 9501, Armstrong County, Texas",42.7,60530,1958,10.7,9.19,97.14,0.87,"2","14",298879069.276
"480110303","48011950100","48011","Armstrong TX","9501.00","Vtng Dist 0303","110","1 ","48","Census Tract 9501, Armstrong County, Texas",42.7,60530,1958,10.7,9.19,97.14,0.87,"3","51",556699168.121
"480110401","48011950100","48011","Armstrong TX","9501.00","Vtng Dist 0401","240","1 ","48","Census Tract 9501, Armstrong County, Texas",42.7,60530,1958,10.7,9.19,97.14,0.87,"12","142",28312035.6012
"480110402","48011950100","48011","Armstrong TX","9501.00","Vtng Dist 0402","203","1 ","48","Census Tract 9501, Armstrong County, Texas",42.7,60530,1958,10.7,9.19,97.14,0.87,"11","111",121960185.937
"480110403","48011950100","48011","Armstrong TX","9501.00","Vtng Dist 0403","35","1 ","48","Census Tract 9501, Armstrong County, Texas",42.7,60530,1958,10.7,9.19,97.14,0.87,"2","23",125278243.125
"480110404","48011950100","48011","Armstrong TX","9501.00","Vtng Dist 0404","35","1 ","48","Census Tract 9501, Armstrong County, Texas",42.7,60530,1958,10.7,9.19,97.14,0.87,"0","16",125881352.202
"480130011","48013960100","48013","Atascosa TX","9601.00","Vtng Dist 0011","82","1 ","48","Census Tract 9601, Atascosa County, Texas",40.4,47083,6252,13.23,50.93,83.24,0.35,"9","38",126580197.532
"480130014","48013960600","48013","Atascosa TX","9606.00","Vtng Dist 0014","700","1 ","48","Census Tract 9606, Atascosa County, Texas",33.7,51136,5814,14.15,46.01,85.78,0.76,"79","95",111094212.63
"480130020","48013960402","48013","Atascosa TX","9604.02","Vtng Dist 0020","4865","1 ","48","Census Tract 9604.02, Atascosa County, Texas",38.3,53072,7942,13.59,49.94,74.68,0,"425","1058",26947874.6951
"480130023","48013960202","48013","Atascosa TX","9602.02","Vtng Dist 0023","2622","1 ","48","Census Tract 9602.02, Atascosa County, Texas",35.5,37864,10179,23.73,67.06,70.5,1.49,"180","212",53314891.4464
